"directorio","secuencia_p","orden","clase","dominio","age","sex","estrato1","p6210","p6240","mes","relab","p6426","p6870","p6920","p7040","p7070","y_total_m_ha","maxEducLevel","totalHoursWorked","formal","informal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","college","depto","ingtot"
4514450,1,4,1,"BOGOTA",21,1,2,6,1,1,1,12,9,1,2,0,6723.59716796875,7,48,1,0,0,0,5,1383140,0,11,1.38314e-06
4514450,1,5,1,"BOGOTA",19,1,2,5,1,1,2,11,9,1,2,0,2430.5556640625,6,48,1,0,0,0,5,5e+05,1,11,5e-07
4514451,1,3,1,"BOGOTA",19,1,2,5,1,1,2,5,9,1,2,0,1000,6,70,1,0,0,0,5,3e+05,1,11,3e-07
4514453,1,2,1,"BOGOTA",51,0,4,6,1,1,2,9,9,1,1,2e+06,44444.4453125,7,63,1,0,0,0,5,1.2e+07,0,11,1.2e-05
4514453,1,3,1,"BOGOTA",50,1,4,6,1,1,4,10,1,2,2,0,9722.22265625,7,60,0,1,1,1,1,2500000,0,11,2.5e-06
4514454,1,2,1,"BOGOTA",56,0,4,6,1,1,5,360,4,2,2,0,23333.333984375,7,30,0,1,0,0,3,3e+06,0,11,3e-06
4514454,1,1,1,"BOGOTA",58,1,4,6,1,1,5,360,4,2,2,0,17500,7,40,0,1,0,0,3,3e+06,0,11,3e-06
4514454,1,4,1,"BOGOTA",28,0,4,6,1,1,1,1,9,1,2,0,10521.60546875,7,36,1,0,0,0,5,1623333.375,0,11,1.62333333333333e-06
4514456,1,3,1,"BOGOTA",26,1,3,6,1,1,1,24,5,1,2,0,6319.4443359375,7,48,1,0,0,0,4,1300000,0,11,1.3e-06
4514456,1,2,1,"BOGOTA",46,0,3,4,1,1,4,48,1,2,2,0,2625,5,40,0,1,1,1,1,450000,0,11,4.5e-07
4514456,1,1,1,"BOGOTA",58,1,3,3,1,1,4,480,1,2,2,0,4375,3,48,0,1,1,1,1,9e+05,0,11,9e-07
4514461,1,2,1,"BOGOTA",29,0,2,3,1,1,4,60,1,2,2,0,2000,4,70,0,1,1,1,1,6e+05,0,11,6e-07
4514461,1,1,1,"BOGOTA",36,1,2,5,1,1,4,6,1,2,2,0,3456.7900390625,6,54,0,1,1,1,1,8e+05,1,11,8e-07
4514463,1,1,1,"BOGOTA",26,0,3,6,1,1,1,3,9,1,2,0,12901.388671875,7,48,1,0,0,0,5,2654000,0,11,2.83733333333333e-06
4514465,1,2,1,"BOGOTA",57,0,1,1,1,1,4,240,1,2,1,150000,530.303039550781,1,66,0,1,1,1,1,150000,0,11,3e-07
4514467,1,1,1,"BOGOTA",45,1,3,5,1,1,1,3,2,1,2,0,2603.33325195312,6,70,1,0,0,1,2,781000,1,11,7.81e-07
